Title,Partner,Subject,Description,Rating,Level,Duration,Skills,URL
Microsoft Business Analyst Professional Certificate,Microsoft,Business Strategy,Launch your career as a business analyst. Build job-ready skills for an in-demand career in business analysis in as little as 3 months. No prior experience required to get started.,4.6,Beginner level,3 months,"['Business Process Modeling', 'Pivot Tables And Charts', 'Business Analysis', 'Excel Formulas', 'Requirements Analysis', 'Scrum (Software Development)', 'User Story', 'Requirements Elicitation', 'Microsoft Excel']",https://www.coursera.org/professional-certificates/microsoft-business-analyst
Data Engineering Foundations Specialization,IBM,Data Management,"Build the Foundation for a Data Engineering Career. Develop hands-on experience with Python, SQL, and Relational Databases and master the fundamentals of the Data Engineering ecosystem.",4.7,Beginner level,2 months,"['Database Design', 'Database Management Systems', 'Big Data', 'Data Store', 'Databases', 'SQL', 'Data Governance', 'Data Warehousing', 'Data Transformation', 'Data Pipelines', 'Stored Procedure', 'IBM DB2']",https://www.coursera.org/specializations/data-engineering-foundations
Psychological First Aid,Johns Hopkins University,Psychology,"Instructor: George Everly, Jr., PhD",4.8,,6 hours to complete,"['Trauma Care', 'Crisis Intervention', 'Triage', 'Stress Management', 'Interpersonal Communications', 'Patient Referral', 'Community Development', 'Rapport Building', 'Active Listening', 'Psychological Evaluations']",https://www.coursera.org/learn/psychological-first-aid
Tableau Business Intelligence Analyst Professional Certificate,Tableau Learning Partner,Data Analysis,Launch your career in Data Analytics. Build in-demand skills and gain credentials to go from beginner to job-ready in 8 months or less. No degree or prior experience required.,4.7,Beginner level,8 months,"['Spatial Data Analysis', 'Data Visualization Software', 'Dashboard', 'Tableau Software', 'Business Analysis', 'Exploratory Data Analysis', 'Requirements Elicitation', 'Data Governance', 'Data Warehousing']",https://www.coursera.org/professional-certificates/tableau-business-intelligence-analyst
Think like a CFO Specialization,IESE Business School,Finance,"Instructors: Marc Badia
+2 more",4.8,Beginner level,1 month,"['Balance Sheet', 'Working Capital', 'Capital Budgeting', 'Corporate Finance', 'Financial Management', 'Financial Statement Analysis', 'Accounting', 'Management Accounting', 'Capital Markets', 'Cash Flows']",https://www.coursera.org/specializations/thinklikeacfo
Meta React Specialization,Meta,Mobile and Web Development,"Master Fundamental and Advanced React Concepts. Learn all about React, from basic concepts to advanced practices",4.8,Intermediate level,1 month,"['HTML and CSS', 'Event-Driven Programming', 'React.js', 'Unit Testing', 'UI Components', 'Javascript', 'Integration Testing', 'JavaScript Frameworks', 'Web Applications', 'Front-End Web Development']",https://www.coursera.org/specializations/meta-react-specialization
Excel Skills for Business Specialization,Macquarie University,Business Essentials,Learn Excel Skills for Business. Master Excel to add a highly valuable asset to your employability portfolio.,4.9,Beginner level,3 months,"['Dashboard', 'Data Integrity', 'Data Validation', 'Loans', 'Excel Formulas', 'Data Cleansing', 'Business Reporting', 'Microsoft Excel', 'Data Modeling', 'Excel Macros', 'Data Analysis Expressions (DAX)', 'Data Visualization']",https://www.coursera.org/specializations/excel
Business Strategy Specialization,University of Virginia,Business Strategy,Steer Your Business to Success. Generate value and demonstrate global impact in four courses.,4.8,Beginner level,1 month,"['Governance', 'Growth Strategies', 'Plan Execution', 'New Business Development', 'Project Management', 'Business Strategy', 'Innovation', 'Business Research', 'Market Analysis', 'Peer Review', 'Strategic Thinking']",https://www.coursera.org/specializations/business-strategy
Microsoft 365 Copilot for Leaders Specialization,Vanderbilt University,Machine Learning,Copilot Mastery for Leaders. Master Microsoft 365 Copilot and redefine leadership productivity,4.8,Beginner level,1 month,"['Verification And Validation', 'Ideation', 'Microsoft Teams', 'Microsoft 365', 'ChatGPT', 'Data Validation', 'Prompt Engineering', 'Proposal Writing', 'Succession Planning', 'Meeting Facilitation']",https://www.coursera.org/specializations/microsoft-365-copilot-for-leaders
IBM IT Scrum Master Professional Certificate,IBM,Leadership and Management,Advance your career in IT as a Scrum Master. Develop the in-demand skills and hands-on experience to get job-ready in 3 months,4.8,Beginner level,3 months,"['Development Environment', 'Software Architecture', 'Agile Project Management', 'Computer Hardware', 'Agile Software Development', 'Engineering Software', 'Scrum (Software Development)', 'User Story']",https://www.coursera.org/professional-certificates/ibm-it-scrum-master
IBM Data Science Professional Certificate,IBM,Data Analysis,Prepare for a career as a data scientist. Build job-ready skills – and must-have AI skills – for an in-demand career. Earn a credential from IBM. No prior experience required.,4.6,Beginner level,Flexible schedule,"['Data Visualization Software', 'Data Wrangling', 'Dashboard', 'Matplotlib', 'Unsupervised Learning', 'Exploratory Data Analysis', 'Plotly', 'Professional Networking', 'Supervised Learning', 'SQL', 'Data Mining']",https://www.coursera.org/professional-certificates/ibm-data-science
Machine Learning Specialization,Stanford University,Machine Learning,"#BreakIntoAI with Machine Learning Specialization. Master fundamental AI concepts and develop practical machine learning skills in the beginner-friendly, 3-course program by AI visionary Andrew Ng",4.9,Beginner level,2 months,"['Machine Learning Algorithms', 'Machine Learning', 'Machine Learning Methods', 'Applied Machine Learning', 'Unsupervised Learning', 'Random Forest Algorithm', 'Classification And Regression Tree (CART)']",https://www.coursera.org/specializations/machine-learning-introduction
Crash Course on Python,Google,Support and Operations,This course is part of Google IT Automation with Python Professional Certificate,4.8,Beginner level,Flexible schedule,"['Data Structures', 'Integrated Development Environments', 'Debugging', 'Algorithms', 'Computational Thinking', 'Computer Programming', 'Programming Principles', 'Problem Management', 'Python Programming']",https://www.coursera.org/learn/python-crash-course
Graphic Design Specialization,California Institute of the Arts,Music and Art,Make Compelling Design. Learn and apply the principles of graphic design towards a comprehensive branding project.,4.7,Beginner level,2 months,"['Adobe InDesign', 'Digital Design', 'Graphic and Visual Design', 'Art History', 'Branding', 'Logo Design', 'Design Strategies', 'Photo Editing', 'Creative Design', 'Style Guides', 'Peer Review']",https://www.coursera.org/specializations/graphic-design
AI Agent Developer Specialization,Vanderbilt University,Machine Learning,"Master Skills of an AI Agent Software Developer. Learn to design, build, and refine intelligent software agents using Python, generative AI, and agentic architectures for real-world applications.",4.8,Beginner level,2 months,"['Document Management', 'Verification And Validation', 'Large Language Modeling', 'Agentic systems', 'Ideation', 'Productivity', 'ChatGPT', 'OpenAI', 'Data Validation', 'Software Development', 'Prompt Engineering']",https://www.coursera.org/specializations/ai-agents
IBM Product Owner Professional Certificate,IBM,Leadership and Management,Get job-ready as a product owner in 3-4 months. Build the skills employers look for on a resume and prepare for the PSPO I certification exam. No prior experience required!,4.7,Beginner level,2 months,"['Market Intelligence', 'Agile Project Management', 'Product Roadmaps', 'Virtual Teams', 'ChatGPT', 'Computer Hardware', 'Stakeholder Communications', 'Agile Software Development', 'User Story', 'Kanban Principles']",https://www.coursera.org/professional-certificates/ibm-product-owner
Geographic Information Systems (GIS) Specialization,"University of California, Davis",Data Analysis,"Map Your World With GIS. Explore the tools, concepts, and terminology of spatial analysis and modeling",4.8,Beginner level,2 months,"['Spatial Data Analysis', 'Data Mapping', 'Data Visualization Software', 'Geographic Information Systems', 'File Management', 'Land Management', 'Spatial Analysis', 'Geospatial Mapping', 'Public Health']",https://www.coursera.org/specializations/gis
Human Resource Management: HR for People Managers Specialization,University of Minnesota,Business Strategy,"Become a better manager of people. Develop strategies and skills for hiring, managing performance, and rewarding employees.",4.8,Beginner level,2 months,"['Constructive Feedback', 'Employee Performance Management', 'Job Analysis', 'Workforce Planning', 'Performance Review', 'Performance Management', 'Compensation and Benefits', 'Human Resources', 'People Management']",https://www.coursera.org/specializations/human-resource-management
IBM Generative AI Engineering Professional Certificate,IBM,Machine Learning,Develop job-ready gen AI skills employers need. Build highly sought-after gen AI engineering skills and practical experience in just 6 months. No prior experience required.,4.7,Beginner level,6 months,"['Unit Testing', 'Keras (Neural Network Library)', 'Data Wrangling', 'Large Language Modeling', 'Applied Machine Learning', 'PyTorch (Machine Learning Library)', 'Flask (Web Framework)', 'Unsupervised Learning']",https://www.coursera.org/professional-certificates/ibm-generative-ai-engineering
Process Data from Dirty to Clean,Google,Data Analysis,This course is part of Google Data Analytics Professional Certificate,4.8,Beginner level,Flexible schedule,"['Data Transformation', 'Data Integrity', 'Sample Size Determination', 'Data Validation', 'Spreadsheet Software', 'Data Processing', 'Sampling (Statistics)', 'Data Cleansing', 'Data Quality', 'SQL', 'Data Analysis']",https://www.coursera.org/learn/process-data
Foundations of User Experience (UX) Design,Google,Design and Product,This course is part of Google UX Design Professional Certificate,4.8,Beginner level,Flexible schedule,"['Design Thinking', 'Sprint Planning', 'Web Content Accessibility Guidelines', 'Usability Testing', 'User Research', 'Usability', 'Prototyping', 'Persona (User Experience)', 'User Centered Design', 'Wireframing']",https://www.coursera.org/learn/foundations-user-experience-design
Discover the Art of Prompting,Google,Machine Learning,This course is part of Google AI Essentials Specialization,4.9,Beginner level,Flexible schedule,"['Prompt Engineering', 'Content Creation', 'Technical Writing', 'Large Language Modeling']",https://www.coursera.org/learn/google-discover-the-art-of-prompting
AI Python for Beginners,DeepLearning.AI,Software Development,Instructor: Andrew Ng,4.8,Beginner level,Flexible schedule,"['Jupyter', 'Large Language Modeling', 'Scripting', 'Computer Programming', 'Application Development', 'Data Analysis', 'Artificial Intelligence', 'Application Programming Interface (API)', 'Automation']",https://www.coursera.org/learn/ai-python-for-beginners
Architecting with Google Compute Engine Specialization,Google Cloud,Cloud Computing,"Launch your career in Cloud Architecture. Design, develop, and manage cloud solutions to drive business objectives.",4.7,Intermediate level,1 month,"['Containerization', 'Identity and Access Management', 'Cloud Computing', 'Service Level Agreement', 'Microservices', 'Application Deployment', 'Service Level', 'Prompt Engineering', 'Cloud Storage']",https://www.coursera.org/specializations/gcp-architecture
Human Anatomy and Medical Terminology Fundamentals Specialization,MedCerts,Basic Science,"Human Anatomy and Physiology for Allied Health. Learn the anatomical structures and terminology relevant to the human body through this interactive, engaging online content.",4.8,Beginner level,1 month,"['General Medical Tests and Procedures', 'Cardiology', 'Medical Billing and Coding', 'Health Information Management and Medical Records', 'Anatomy', 'Urology', 'Neurology', 'Pulmonology', 'Physical Therapy']",https://www.coursera.org/specializations/human-anatomy-medical-terminology-fundamentals
Project Planning: Putting It All Together,Google,Leadership and Management,This course is part of Google Project Management: Professional Certificate,4.8,Beginner level,Flexible schedule,"['Project Schedules', 'Estimation', 'Procurement', 'Timelines', 'Project Planning', 'Project Documentation', 'Strategic Thinking', 'Communication Planning', 'Project Management', 'Budgeting', 'Risk Management']",https://www.coursera.org/learn/project-planning-google
"Python for Data Science, AI & Development",IBM,Data Analysis,"This course is part of multiple programs.
Learn more",4.6,Beginner level,Flexible schedule,"['Application Programming Interface (API)', 'Data Structures', 'Object Oriented Programming (OOP)', 'File Management', 'NumPy', 'Python Programming', 'Data Manipulation', 'Computer Programming', 'Jupyter']",https://www.coursera.org/learn/python-for-applied-data-science-ai
ADP Entry-Level Payroll Specialist Professional Certificate,"Automatic Data Processing, Inc. (ADP)",Finance,Become a Successful Entry-Level Payroll Specialist. Gain the knowledge and develop job-ready skills for an exciting career in the diverse field of payroll. No degree or experience required.,4.7,Beginner level,1 month,"['Benefits Administration', 'Payroll Processing', 'Labor Law', 'Tax Management', 'Compensation and Benefits', 'Human Resources', 'Tax Compliance', 'Payroll Systems', 'Compensation Management', 'Labor Compliance']",https://www.coursera.org/professional-certificates/adp-payroll-specialist
HRCI Human Resource Associate Professional Certificate,HRCI,Leadership and Management,"Launch your career in Human Resources. In this program, you’ll learn in-demand skills for a career as an Human Resource Associate. No degree or prior experience needed. Coursera's 2024 Learners First Award Winner.",4.8,Beginner level,Flexible schedule,"['Employee Performance Management', 'Business Continuity Planning', 'Job Analysis', 'Performance Management', 'Compensation and Benefits', 'Employee Relations', 'Compensation Management', 'Recruitment']",https://www.coursera.org/professional-certificates/hrci-human-resource-associate
Intuit Academy Bookkeeping Professional Certificate,Intuit,Business Essentials,Launch your career in bookkeeping. Gain the professional skills you need to succeed in the bookkeeping field. No degree or prior experience required.,4.6,Beginner level,2 months,"['Payroll Processing', 'Balance Sheet', 'Inventory Accounting', 'Property Accounting', 'Accounting Software', 'Financial Statement Analysis', 'QuickBooks (Accounting Software)', 'Payroll Administration']",https://www.coursera.org/professional-certificates/intuit-bookkeeping
Accelerate Your Job Search with AI,Google,Personal Development,"This course is part of multiple programs.
Learn more",4.8,Beginner level,Flexible schedule,"['Personal Attributes', 'Problem Solving', 'Professional Development', 'Generative AI', 'Interviewing Skills', 'Writing and Editing', 'Communication']",https://www.coursera.org/learn/accelerate-your-job-search-with-ai
Meta Social Media Marketing Professional Certificate,Meta,Marketing,Launch your career as a Social Media Marketer. Build job-ready skills – and must-have AI skills – for an in-demand career. Earn a credential from Meta 5 months or less. No degree or prior experience required.,4.8,Beginner level,Flexible schedule,"['Advertising', 'Social Media', 'Campaign Management', 'Instagram', 'Performance Analysis', 'Goal Setting', 'Key Performance Indicators (KPIs)', 'Marketing', 'Marketing Effectiveness', 'Marketing Analytics']",https://www.coursera.org/professional-certificates/facebook-social-media-marketing
Data Analysis and Visualization Foundations Specialization,IBM,Data Analysis,"Get ahead w/ Data Analysis & Visualization skills. Enhance your career by learning to analyze data using Excel spreadsheets, and create stunning visualizations and interactive dashboards with Cognos.",4.8,Beginner level,Flexible schedule,"['IBM Cognos Analytics', 'Data Visualization Software', 'Data Wrangling', 'Dashboard', 'Big Data', 'Data Mart', 'Excel Formulas', 'Data Cleansing', 'Apache Hadoop', 'Microsoft Excel', 'Data Mining', 'Data Collection']",https://www.coursera.org/specializations/data-analysis-visualization-foundations
Ask Questions to Make Data-Driven Decisions,Google,Data Analysis,This course is part of Google Data Analytics Professional Certificate,4.7,Beginner level,Flexible schedule,"['Spreadsheet Software', 'Business Analysis', 'Problem Solving', 'Dashboard', 'Data Presentation', 'Data Analysis', 'Quantitative Research', 'Data-Driven Decision-Making', 'Stakeholder Communications']",https://www.coursera.org/learn/ask-questions-make-decisions
Financial Engineering and Risk Management Specialization,Columbia University,Finance,Advance Your Knowledge in Financial Engineering. Build the fundamentals and technical skills in financial engineering,4.6,Intermediate level,2 months,"['Risk Modeling', 'Derivatives', 'Market Liquidity', 'Investment Management', 'Mathematical Modeling', 'Capital Markets', 'Applied Mathematics', 'Financial Trading', 'Mortgage Loans', 'Securities (Finance)']",https://www.coursera.org/specializations/financialengineering
Preparing for Google Cloud Certification: Machine Learning Engineer Professional Certificate,Google Cloud,Cloud Computing,Advance your career as a Cloud ML Engineer,4.5,Intermediate level,2 months,"['Machine Learning', 'Keras (Neural Network Library)', 'MLOps (Machine Learning Operations)', 'Cloud Computing', 'Prompt Engineering', 'Artificial Intelligence and Machine Learning (AI/ML)']",https://www.coursera.org/professional-certificates/preparing-for-google-cloud-machine-learning-engineer-professional-certificate
IBM Data Engineering Professional Certificate,IBM,Data Management,Prepare for a career as a Data Engineer. Build job-ready skills – and must-have AI skills – for an in-demand career. Earn a credential from IBM. No prior experience required.,4.7,Beginner level,Flexible schedule,"['IBM Cognos Analytics', 'Database Design', 'Linux Commands', 'Database Administration', 'Data Store', 'Professional Networking', 'SQL', 'Apache Hadoop', 'NoSQL', 'Data Warehousing', 'Apache Spark', 'Web Scraping']",https://www.coursera.org/professional-certificates/ibm-data-engineer
Management of Fashion and Luxury Companies,Università Bocconi,Leadership and Management,"Instructors: Erica Corbellini
+1 more",4.7,,12 hours to complete,"['Brand Management', 'Consumer Behaviour', 'Digital Media Strategy', 'Product Development', 'Retail Store Operations', 'Communication Strategies', 'Customer experience strategy (CX)', 'Global Marketing']",https://www.coursera.org/learn/mafash
Leadership Skills,IIMA - IIM Ahmedabad,Leadership and Management,Instructor: Vishal Gupta,4.9,Beginner level,Flexible schedule,"['Personal Development', 'Business Leadership', 'Mindfulness', 'Self-Awareness', 'Business Ethics', 'Leadership', 'Communication', 'Leadership and Management', 'Influencing', 'Relationship Building', 'Empowerment']",https://www.coursera.org/learn/leadershipskills
IBM Program Manager Professional Certificate,IBM,Leadership and Management,Get job-ready as a program manager in 2 months. Build in-demand skills and prepare for the PMI-PgMP certification exam. No experience required.,4.8,Beginner level,2 months,"['Project Management', 'Stakeholder Engagement', 'Agile Project Management', 'Resource Management', 'Agile Software Development', 'Project Management Life Cycle', 'Resource Allocation', 'User Story']",https://www.coursera.org/professional-certificates/ibm-program-manager
From Likes to Leads: Interact with Customers Online,Google,Marketing,This course is part of Google Digital Marketing & E-commerce Professional Certificate,4.8,Beginner level,Flexible schedule,"['Digital Advertising', 'Content Strategy', 'Customer Engagement', 'Social Media Management', 'Content Creation', 'Social Media Marketing', 'Digital Marketing', 'Target Audience', 'Advertising Campaigns']",https://www.coursera.org/learn/from-likes-to-leads
AWS Cloud Technology Consultant Professional Certificate,Amazon Web Services,Cloud Computing,"Start a career as a Cloud Technology Consultant. In this program, you’ll learn in-demand skills to advise clients on the use of cloud technology to meet business objectives. No degree or experience required.",4.8,Beginner level,Flexible schedule,"['Teamwork', 'Software Architecture', 'Cloud Computing', 'Amazon S3', 'AWS Identity and Access Management (IAM)', 'Professional Networking', 'Cloud Computing Architecture', 'CI/CD', 'Cloud Management']",https://www.coursera.org/professional-certificates/aws-cloud-technology-consultant
Generative AI for Software Development Skill Certificate,DeepLearning.AI,Software Development,"Leverage AI in your software development workflow. Learn practical prompt engineering and pair programming techniques with LLMs to write, test, and improve your code.",4.7,Beginner level,1 month,"['Database Design', 'System Design and Implementation', 'Machine Learning', 'Collaborative Software', 'Software Architecture', 'Large Language Modeling', 'Software Engineering', 'Technical Documentation', 'ChatGPT']",https://www.coursera.org/professional-certificates/generative-ai-for-software-development
Agile Project Management,Google,Leadership and Management,This course is part of Google Project Management: Professional Certificate,4.8,Beginner level,Flexible schedule,"['Sprint Retrospectives', 'Coaching', 'Organizational Change', 'Backlogs', 'Prioritization', 'Team Management', 'Influencing', 'Kanban Principles', 'User Story', 'Problem Solving', 'Sprint Planning', 'Agile Product Development']",https://www.coursera.org/learn/agile-project-management
Google Advanced Data Analytics Professional Certificate,Google,Data Analysis,"Learn in-demand skills like statistical analysis, Python, regression models, and machine learning in less than 6 months.",4.8,Advanced level,Flexible schedule,"['Machine Learning', 'Data Visualization Software', 'Interviewing Skills', 'Tableau Software', 'Exploratory Data Analysis', 'Descriptive Statistics', 'Regression Analysis', 'Sampling (Statistics)']",https://www.coursera.org/professional-certificates/google-advanced-data-analytics
Operating Systems and You: Becoming a Power User,Google,Support and Operations,This course is part of Google IT Support Professional Certificate,4.7,Beginner level,Flexible schedule,"['Authorization (Computing)', 'Command-Line Interface', 'Linux', 'User Accounts', 'Linux Administration', 'Systems Administration', 'System Monitoring', 'File Systems', 'Remote Access Systems']",https://www.coursera.org/learn/os-power-user
Introduction to Psychology,Yale University,Psychology,Instructor: Paul Bloom,4.9,Beginner level,Flexible schedule,"['Mental Health', 'Child Development', 'Biology', 'Critical Thinking', 'Behavioral Health', 'Problem Solving', 'Neurology', 'Scientific Methods', 'Human Learning', 'Mental and Behavioral Health Specialties']",https://www.coursera.org/learn/introduction-psychology
Introduction to AI,Google,Machine Learning,This course is part of Google AI Essentials Specialization,4.9,Beginner level,Flexible schedule,"['Machine Learning', 'Critical Thinking', 'Innovation', 'Machine Learning Software', 'Data Quality', 'Generative AI', 'Artificial Intelligence and Machine Learning (AI/ML)']",https://www.coursera.org/learn/google-introduction-to-ai
"TESOL Certificate, Part 2: Teach English Now! Specialization",Arizona State University,Learning English,"TESOL Certificate Part II: Teach English Now!. Apply principles of language teaching for reading, writing, listening & speaking.",4.9,Beginner level,2 months,"['End User Training and Support', 'Grammar', 'Technology Strategies', 'Organizational Skills', 'Digital Transformation', 'Education Software and Technology', 'Innovation', 'Emerging Technologies', 'Teaching']",https://www.coursera.org/specializations/tesol-certificate-2
Meta iOS Developer Professional Certificate,Meta,Mobile and Web Development,Launch your career as an iOS developer. Build job-ready skills for an in-demand career and earn a credential from Meta. No degree or prior experience required to get started.,4.6,Beginner level,Flexible schedule,"['Usability Testing', 'GitHub', 'Javascript', 'Apple iOS', 'React Native', 'Persona (User Experience)', 'Interaction Design', 'iOS Development', 'Unix Commands', 'User Interface (UI)', 'Core Data (Software)']",https://www.coursera.org/professional-certificates/meta-ios-developer
Management Consulting Specialization,Emory University,Leadership and Management,"Management Consultant's Careers Skills Tools. Work like a management consultant: smarter, and faster",4.9,Beginner level,1 month,"['Six Sigma Methodology', 'Storytelling', 'Management Consulting', 'Interviewing Skills', 'Proposal Development', 'Microsoft PowerPoint', 'Data Cleansing', 'Business Research', 'Executive Presence', 'Microsoft Excel']",https://www.coursera.org/specializations/managementconsulting
Preparing for Google Cloud Certification: Cloud DevOps Engineer Professional Certificate,Google Cloud,Cloud Computing,Advance your career as an SRE & DevOps Engineer,4.8,Beginner level,1 month,"['Containerization', 'Identity and Access Management', 'Event Monitoring', 'Service Level Agreement', 'Application Deployment', 'Prompt Engineering', 'Cloud Storage', 'Cloud Infrastructure']",https://www.coursera.org/professional-certificates/sre-devops-engineer-google-cloud
SAP Business Analyst Professional Certificate,SAP,Business Strategy,Launch Your Career as a Business Analyst. Build in-demand skills and earn a credential to go from beginner to job-ready in less than 4 months.,4.4,Beginner level,3 months,"['Stakeholder Engagement', 'Business Process Modeling', 'Process Mapping', 'Performance Measurement', 'Business Analysis', 'User Requirements Documents', 'Stakeholder Communications', 'Process Improvement']",https://www.coursera.org/professional-certificates/sap-business-analyst
IBM IT Support Professional Certificate,IBM,Support and Operations,Prepare for a career as an IT support specialist. Build job-ready skills and prep for the CompTIA ITF+ certification exam. No prior experience needed.,4.8,Beginner level,Flexible schedule,"['Cloud Computing', 'Cybersecurity', 'Peripheral Devices', 'Technical Support', 'Cloud Applications', 'Professional Networking', 'Network Troubleshooting', 'Cloud Infrastructure', 'Cloud Computing Architecture']",https://www.coursera.org/professional-certificates/ibm-technical-support
Six Sigma Yellow Belt Specialization,Kennesaw State University,Leadership and Management,Improve Your Career With Six Sigma Knowledge. Learn proven principles and tools to improve quality assurance in your organization,4.7,Beginner level,1 month,"['Six Sigma Methodology', 'Project Management', 'Statistical Process Controls', 'Root Cause Analysis', 'Business Process', 'Kaizen Methodology', 'Team Management', 'Process Improvement', 'Process Capability']",https://www.coursera.org/specializations/six-sigma-fundamentals
IBM AI Developer Professional Certificate,IBM,Software Development,"Kickstart your career in artificial intelligence. Build job-ready skills in AI technologies, generative AI models, and programming and learn to build AI-powered chatbots and apps in just 6 months",4.6,Beginner level,Flexible schedule,"['Development Environment', 'Unit Testing', 'Machine Learning', 'Software Architecture', 'Large Language Modeling', 'Flask (Web Framework)', 'Software Engineering', 'ChatGPT', 'Software Development']",https://www.coursera.org/professional-certificates/applied-artifical-intelligence-ibm-watson-ai
Generative AI and ChatGPT for K-12 Educators Specialization,Vanderbilt University,Education,"Harness Generative AI for Engaging K-12 Teaching. Learn to integrate generative AI into your teaching to create engaging lessons, foster student creativity, and enhance problem-solving in the classroom.",4.8,Beginner level,1 month,"['Creative Thinking', 'Brainstorming', 'Creativity', 'Technical Communication', 'Large Language Modeling', 'Game Design', 'Productivity', 'ChatGPT', 'Prompt Engineering', 'Education Software and Technology', 'Innovation']",https://www.coursera.org/specializations/generative-ai-k12-educators
AI For Everyone,DeepLearning.AI,Business Strategy,Instructor: Andrew Ng,4.8,Beginner level,Flexible schedule,"['Strategic Thinking', 'Business Ethics', 'Data Ethics', 'Artificial Neural Networks', 'Deep Learning', 'Needs Assessment', 'Market Opportunities', 'Artificial Intelligence and Machine Learning (AI/ML)']",https://www.coursera.org/learn/ai-for-everyone
Google Cloud Cybersecurity Professional Certificate,Google Cloud,Cloud Computing,Launch your career in Cloud Cybersecurity. Build job-ready skills – and must-have AI skills – for an in-demand career. Earn a credential from Google Cloud. No prior experience required.,4.6,Beginner level,Flexible schedule,"['Data Security', 'Identity and Access Management', 'Threat Management', 'Cyber Threat Hunting', 'Event Monitoring', 'Large Language Modeling', 'Cybersecurity', 'Intrusion Detection and Prevention']",https://www.coursera.org/professional-certificates/google-cloud-cybersecurity-certificate
IBM Data Analyst Professional Certificate,IBM,Data Analysis,Prepare for a career as a data analyst. Build job-ready skills – and must-have AI skills – for an in-demand career. Earn a credential from IBM. No prior experience required.,4.7,Beginner level,Flexible schedule,"['IBM Cognos Analytics', 'Data Visualization Software', 'Data Wrangling', 'Dashboard', 'Matplotlib', 'Big Data', 'Exploratory Data Analysis', 'Plotly', 'Professional Networking', 'Excel Formulas', 'SQL', 'Microsoft Excel']",https://www.coursera.org/professional-certificates/ibm-data-analyst
IBM Full-Stack JavaScript Developer Professional Certificate,IBM,Software Development,Launch your Full-Stack JavaScript Developer career. Build the skills and hands-on experience to get job-ready in under four months. No prior experience required.,4.7,Beginner level,4 months,"['Development Environment', 'Ajax', 'Software Architecture', 'Javascript', 'Cloud-Native Computing', 'Azure DevOps', 'Application Deployment', 'Software Development', 'Cascading Style Sheets (CSS)', 'Server Side']",https://www.coursera.org/professional-certificates/ibm-full-stack-javascript-developer
Generative AI for Project Managers Specialization,IBM,Leadership and Management,Boost your project management career with gen AI. Learn in-demand skills and gain generative AI expertise to advance your project management career in less than a month.,4.7,Intermediate level,1 month,"['Machine Learning', 'Project Management', 'Large Language Modeling', 'Workflow Management', 'ChatGPT', 'OpenAI', 'IBM Cloud', 'Prompt Engineering', 'Project Management Life Cycle', 'Image Analysis', 'Team Building']",https://www.coursera.org/specializations/generative-ai-for-project-managers
Preparing for Google Cloud Certification: Cloud Architect Professional Certificate,Google Cloud,Cloud Computing,Advance your career in cloud architecture.,4.7,Intermediate level,1 month,"['Containerization', 'Identity and Access Management', 'Cloud Computing', 'Service Level Agreement', 'Application Deployment', 'Prompt Engineering', 'Cloud Storage', 'Cloud Infrastructure']",https://www.coursera.org/professional-certificates/gcp-cloud-architect
Indigenous Canada,University of Alberta,History,Instructor: Dr. Paul L. Gareau,4.8,,20 hours to complete,"['Community Development', 'Social Sciences', 'Social Justice', 'Socioeconomics', 'Land Management', 'Governance', 'World History', 'Storytelling', 'Intercultural Competence', 'Art History', 'Cultural Diversity']",https://www.coursera.org/learn/indigenous-canada
Generative AI Cybersecurity & Privacy for Leaders Specialization,Vanderbilt University,Security,Understand Generative AI Security & Best Practices. Learners will understand generative AI-specific security threats and vulnerabilities while mastering strategies to enhance organizational preparedness through advanced tabletop exercises and proactive cybersecurity planning.,4.8,Beginner level,1 month,"['Creative Thinking', 'Personally Identifiable Information', 'Large Language Modeling', 'Cybersecurity', 'Productivity', 'ChatGPT', 'Prompt Engineering', 'Cross-Functional Collaboration', 'Incident Response']",https://www.coursera.org/specializations/generative-ai-cybersecurity-leaders
"Start the UX Design Process: Empathize, Define, and Ideate",Google,Design and Product,This course is part of Google UX Design Professional Certificate,4.8,Beginner level,Flexible schedule,"['Mockups', 'User Research', 'Ideation', 'User Experience Design', 'Competitive Analysis', 'Web Content Accessibility Guidelines', 'Persona (User Experience)', 'User Story', 'Human Centered Design', 'Human Factors']",https://www.coursera.org/learn/start-ux-design-process
Generative AI for Growth Marketing Specialization,Starweaver,Marketing,AI Marketing Strategies for Growth and Success. Harness AI tools & data strategies to launch and optimize today’s modern marketing campaigns.,4.7,Beginner level,3 months,"['Virtual Environment', 'Large Language Modeling', 'IBM Cloud', 'Image Analysis', 'Artificial Intelligence', 'Business Ethics', 'Content Creation']",https://www.coursera.org/specializations/generative-ai-for-growth-marketing
Global Procurement and Sourcing Specialization,Rutgers the State University of New Jersey,Leadership and Management,"Learn about Global Procurement and Sourcing. Reviews the key aspects of global procurement and sourcing, and the importance of procurement to the firm, its stakeholders, and suppliers.",4.7,Beginner level,1 month,"['Strategic Sourcing', 'Supply Management', 'Request For Quotation (RFQ)', 'Vendor Management', 'Negotiation', 'Supply Chain Management', 'Strategic Partnership', 'Contract Negotiation', 'Purchasing', 'Procurement']",https://www.coursera.org/specializations/procurement-sourcing
